TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
mypackage.HierarchyPropertyParser,LINE,0.5166666666666667,240,124
mypackage.HierarchyPropertyParser,BRANCH,0.6090909090909091,110,67
mypackage.HierarchyPropertyParser,EXCEPTION,1.0,0,0
mypackage.HierarchyPropertyParser,WEAKMUTATION,0.4716981132075472,424,200
mypackage.HierarchyPropertyParser,OUTPUT,0.0,50,0
mypackage.HierarchyPropertyParser,METHOD,0.0,28,0
mypackage.HierarchyPropertyParser,METHODNOEXCEPTION,0.0,28,0
mypackage.HierarchyPropertyParser,CBRANCH,0.5909090909090909,110,65
