TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
ResultSetColumnReaderSourceCode.ResultSetColumnReader,LINE,0.9178082191780822,73,67
ResultSetColumnReaderSourceCode.ResultSetColumnReader,BRANCH,0.9,80,72
ResultSetColumnReaderSourceCode.ResultSetColumnReader,EXCEPTION,1.0,0,0
ResultSetColumnReaderSourceCode.ResultSetColumnReader,WEAKMUTATION,0.908256880733945,109,99
ResultSetColumnReaderSourceCode.ResultSetColumnReader,OUTPUT,0.0,73,0
ResultSetColumnReaderSourceCode.ResultSetColumnReader,METHOD,0.0,11,0
ResultSetColumnReaderSourceCode.ResultSetColumnReader,METHODNOEXCEPTION,0.0,11,0
ResultSetColumnReaderSourceCode.ResultSetColumnReader,CBRANCH,0.9,80,72
