TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
mypackage.HierarchyPropertyParser,LINE,0.5625,240,135
mypackage.HierarchyPropertyParser,BRANCH,0.6272727272727273,110,69
mypackage.HierarchyPropertyParser,EXCEPTION,1.0,0,0
mypackage.HierarchyPropertyParser,WEAKMUTATION,0.5283018867924528,424,224
mypackage.HierarchyPropertyParser,OUTPUT,0.0,50,0
mypackage.HierarchyPropertyParser,METHOD,0.0,28,0
mypackage.HierarchyPropertyParser,METHODNOEXCEPTION,0.0,28,0
mypackage.HierarchyPropertyParser,CBRANCH,0.6090909090909091,110,67
