TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
ParameterParserSourceCode.ParameterParser,LINE,0.8586956521739131,92,79
ParameterParserSourceCode.ParameterParser,BRANCH,0.6666666666666666,81,54
ParameterParserSourceCode.ParameterParser,EXCEPTION,1.0,0,0
ParameterParserSourceCode.ParameterParser,WEAKMUTATION,0.7180722891566265,415,298
ParameterParserSourceCode.ParameterParser,OUTPUT,0.0,26,0
ParameterParserSourceCode.ParameterParser,METHOD,0.0,7,0
ParameterParserSourceCode.ParameterParser,METHODNOEXCEPTION,0.0,7,0
ParameterParserSourceCode.ParameterParser,CBRANCH,0.5925925925925926,81,48
