TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
mypackage.FTPFile,LINE,0.7181818181818181,110,79
mypackage.FTPFile,BRANCH,0.7230769230769231,65,47
mypackage.FTPFile,EXCEPTION,1.0,0,0
mypackage.FTPFile,WEAKMUTATION,0.949438202247191,356,338
mypackage.FTPFile,OUTPUT,0.0,54,0
mypackage.FTPFile,METHOD,0.0,30,0
mypackage.FTPFile,METHODNOEXCEPTION,0.0,30,0
mypackage.FTPFile,CBRANCH,0.7230769230769231,65,47
