TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
ImprovedStreamTokenizerSourceCode.ImprovedStreamTokenizer,LINE,0.8842105263157894,95,84
ImprovedStreamTokenizerSourceCode.ImprovedStreamTokenizer,BRANCH,0.8367346938775511,49,41
ImprovedStreamTokenizerSourceCode.ImprovedStreamTokenizer,EXCEPTION,1.0,0,0
ImprovedStreamTokenizerSourceCode.ImprovedStreamTokenizer,WEAKMUTATION,0.9658385093167702,322,311
ImprovedStreamTokenizerSourceCode.ImprovedStreamTokenizer,OUTPUT,0.0,58,0
ImprovedStreamTokenizerSourceCode.ImprovedStreamTokenizer,METHOD,0.0,16,0
ImprovedStreamTokenizerSourceCode.ImprovedStreamTokenizer,METHODNOEXCEPTION,0.0,16,0
ImprovedStreamTokenizerSourceCode.ImprovedStreamTokenizer,CBRANCH,0.40816326530612246,49,20
